,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Cayenne,GF,80.6,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
617,Auki,SB,79.3,overcast clouds,-8.7676,160.7034,Auki Motel
624,Matara,LK,77.56,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
631,Quilmana,PE,79.03,scattered clouds,-12.95,-76.3833,HOSPEDAJE PARAISO
633,Neiafu,TO,78.8,light rain,-18.65,-173.9833,Mystic Sands
635,Cravo Norte,CO,92.8,clear sky,6.3017,-70.2041,Hotel Potosí Los Mirtos
640,Ugoofaaru,MV,81.57,broken clouds,5.6667,73.0,Ungoofaaru Inn
641,Quelimane,MZ,84.2,broken clouds,-17.8786,36.8883,Hotel Flamingo
647,Panama City,PA,89.6,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
652,Colonia Leopoldina,BR,84.2,broken clouds,-8.9089,-35.725,Pousada Encontro dos Amigos
654,Inongo,CD,76.78,heavy intensity rain,-1.95,18.2667,Hotel Du Lac
659,Balabac,PH,80.29,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
660,Maragogi,BR,83.75,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
664,Manadhoo,MV,81.41,broken clouds,5.7667,73.3833,Vevu Guesthouse
669,Den Chai,TH,77.0,few clouds,17.9837,100.0522,Ruean Saen Hotel
675,Labuhan,ID,77.49,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
